ID;s;constellation;Q;mu;-K;g;comments
S72;5;[2,1,1,1,2];[[1,1,a,2,3,0,0],[0,0,1,1,3,1,1]];[6,6];[a+1,1];T[1]^5*T[2]*T[6]^6+T[4]^3*T[7]^3+T[5]^2;a >= 3
S73;5;[2,1,1,1,2];[[1,1,a+1,a-1,a,0,0],[0,0,1,1,3,1,1]];[2*a,6];[a+2,1];T[5]^2+T[1]^(2*a-l)*T[2]^l*T[6]^6+T[3]*T[4]*T[7]^4;a >= 2, 0 < l <= a, l odd
S74;5;[2,1,1,1,2];[[1,1,2*b,a,b,0,0],[0,0,1,1,3,1,1]];[2*b,6];[a+b+2,1];T[5]^2+T[1]^(2*b-l)*T[2]^l*T[6]^6+T[3]*T[7]^5;a, b >= 1, b-1 <= a < 2*b, 0 < l <= b, l odd
S75;5;[2,1,1,1,2];[[1,1,a,2*b,b,0,0],[0,0,1,1,3,1,1]];[2*b,6];[a+b+2,1];T[5]^2+T[1]^(2*b-l)*T[2]^l*T[6]^6+T[4]*T[7]^5;b >= 1, a > 2*b, 0 < l <= b, l odd
S76;6;[2,1,1,1,1,1];[[1,1,a,b,c,d,0],[0,0,1,1,1,1,1]];[a+3*d,4];[-2*d+c+b+2,1];T[1]^(a-4*c+3*d)*T[5]^4+T[3]*T[6]^3+T[2]^(a-b+3*d)*T[4]*T[7]^3;b > c > d >= 1, a > 4*c-3*d, a > b-3*d, a <= 1+b+c-2*d
S77;6;[2,1,1,1,1,1];[[1,1,a,b,c,d,0],[0,0,1,1,1,1,1]];[a+3*d,4];[-2*d+c+b+2,1];T[1]^(a-4*c+3*d)*T[5]^4+T[3]*T[6]^3+T[2]^(a+3*d)*T[7]^4;b > c > d >= 1, 4*c-3*d < a <= 1+b+c-2*d, a+3d odd
S78;6;[2,1,1,1,1,1];[[1,1,b+3*d,b,c,d,0],[0,0,1,1,1,1,1]];[b+3*d,4];[b+d+c+2,1];T[1]^(b-4*c+3*d-l)*T[2]^l*T[5]^4+T[4]*T[6]^3+T[3]*T[7]^3;c > d >= 1, c >= 2*d-1, b > 4*c-3*d, 0 <= l <= (b-4*c+3*d)/2
S79;6;[2,1,1,1,1,1];[[1,1,a,b,c,d,0],[0,0,1,1,1,1,1]];[a,4];[b+d+c+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^(a-b-3*d)*T[4]*T[6]^3+T[3]*T[7]^3;b > c > d >= 1, a > 4*c, a > b+3*d, a <= 1+b+c+d
S80;6;[2,1,1,1,1,1];[[1,1,a,b,c,d,0],[0,0,1,1,1,1,1]];[a,4];[b+d+c+2,1];T[1]^(a-4*c)*T[5]^4+T[2]^(a-4*d)*T[6]^4+T[3]*T[7]^3;c > d >= 1, b >= 3*c-d, 4*c < a <= 1+b+c+d, a odd
S81;6;[2,1,1,1,1,1];[[1,1,a,b,c,d,0],[0,0,1,1,1,1,1]];[b+3*d,4];[-2*d+c+a+2,1];T[1]^(b-4*c+3*d)*T[5]^4+T[4]*T[6]^3+T[2]^(b+3*d-a)*T[3]*T[7]^3;c > d >= 1, b > 4*c-3*d, b < a < b+3*d
